,f1-score,precision,recall,support
banded,0.45333333333333337,0.4857142857142857,0.425,40.0
blotchy,0.04347826086956522,0.16666666666666666,0.025,40.0
braided,0.04597701149425288,0.0425531914893617,0.05,40.0
bubbly,0.11764705882352941,0.14285714285714285,0.1,40.0
bumpy,0.03571428571428572,0.0625,0.025,40.0
chequered,0.34567901234567905,0.34146341463414637,0.35,40.0
cobwebbed,0.13953488372093023,0.13043478260869565,0.15,40.0
cracked,0.1627906976744186,0.15217391304347827,0.175,40.0
crosshatched,0.03846153846153846,0.08333333333333333,0.025,40.0
crystalline,0.1523809523809524,0.12307692307692308,0.2,40.0
dotted,0.1951219512195122,0.19047619047619047,0.2,40.0
fibrous,0.12345679012345678,0.12195121951219512,0.125,40.0
flecked,0.11594202898550725,0.13793103448275862,0.1,40.0
freckled,0.3220338983050847,0.24358974358974358,0.475,40.0
frilly,0.18749999999999997,0.25,0.15,40.0
gauzy,0.32653061224489793,0.27586206896551724,0.4,40.0
grid,0.05970149253731344,0.07407407407407407,0.05,40.0
grooved,0.19444444444444442,0.21875,0.175,40.0
honeycombed,0.045454545454545456,0.25,0.025,40.0
interlaced,0.1694915254237288,0.1282051282051282,0.25,40.0
knitted,0.03448275862068966,0.05555555555555555,0.025,40.0
lacelike,0.20105820105820105,0.12751677852348994,0.475,40.0
lined,0.2531645569620253,0.2564102564102564,0.25,40.0
marbled,0.03389830508474576,0.05263157894736842,0.025,40.0
matted,0.0625,0.05357142857142857,0.075,40.0
meshed,0.14285714285714285,0.1206896551724138,0.175,40.0
paisley,0.08823529411764705,0.10714285714285714,0.075,40.0
perforated,0.12195121951219512,0.11904761904761904,0.125,40.0
pitted,0.075,0.075,0.075,40.0
pleated,0.03636363636363636,0.06666666666666667,0.025,40.0
polka−dotted,0.2,0.3,0.15,40.0
porous,0.0,0.0,0.0,40.0
potholed,0.3393939393939394,0.224,0.7,40.0
scaly,0.0,0.0,0.0,40.0
smeared,0.061538461538461535,0.08,0.05,40.0
spiralled,0.04444444444444445,0.2,0.025,40.0
sprinkled,0.04347826086956522,0.16666666666666666,0.025,40.0
stained,0.028169014084507043,0.03225806451612903,0.025,40.0
stratified,0.20618556701030927,0.17543859649122806,0.25,40.0
striped,0.34567901234567905,0.34146341463414637,0.35,40.0
studded,0.41441441441441446,0.323943661971831,0.575,40.0
swirly,0.125,0.16666666666666666,0.1,40.0
veined,0.22727272727272727,0.20833333333333334,0.25,40.0
waffled,0.29059829059829057,0.22077922077922077,0.425,40.0
woven,0.125,0.16666666666666666,0.1,40.0
wrinkled,0.06779661016949153,0.10526315789473684,0.05,40.0
zigzagged,0.24299065420560745,0.19402985074626866,0.325,40.0
micro avg,0.17446808510638298,0.17446808510638298,0.17446808510638298,1880.0
macro avg,0.15076908158469568,0.16087988955604662,0.17446808510638295,1880.0
weighted avg,0.1507690815846957,0.16087988955604662,0.17446808510638298,1880.0
