,f1-score,precision,recall,support
banded,0.4307692307692308,0.56,0.35,40.0
blotchy,0.026666666666666665,0.02857142857142857,0.025,40.0
braided,0.0,0.0,0.0,40.0
bubbly,0.16666666666666663,0.1875,0.15,40.0
bumpy,0.061538461538461535,0.08,0.05,40.0
chequered,0.2926829268292683,0.2857142857142857,0.3,40.0
cobwebbed,0.16216216216216214,0.17647058823529413,0.15,40.0
cracked,0.23255813953488375,0.16853932584269662,0.375,40.0
crosshatched,0.03278688524590165,0.047619047619047616,0.025,40.0
crystalline,0.12345679012345678,0.12195121951219512,0.125,40.0
dotted,0.09090909090909093,0.11538461538461539,0.075,40.0
fibrous,0.06976744186046512,0.06521739130434782,0.075,40.0
flecked,0.27956989247311825,0.24528301886792453,0.325,40.0
freckled,0.3733333333333333,0.4,0.35,40.0
frilly,0.18666666666666665,0.2,0.175,40.0
gauzy,0.38636363636363635,0.3541666666666667,0.425,40.0
grid,0.09374999999999999,0.125,0.075,40.0
grooved,0.0923076923076923,0.12,0.075,40.0
honeycombed,0.08450704225352113,0.0967741935483871,0.075,40.0
interlaced,0.1651376146788991,0.13043478260869565,0.225,40.0
knitted,0.12121212121212123,0.15384615384615385,0.1,40.0
lacelike,0.10309278350515463,0.08771929824561403,0.125,40.0
lined,0.44186046511627913,0.41304347826086957,0.475,40.0
marbled,0.08695652173913043,0.10344827586206896,0.075,40.0
matted,0.09523809523809525,0.09090909090909091,0.1,40.0
meshed,0.16,0.17142857142857143,0.15,40.0
paisley,0.08421052631578947,0.07272727272727272,0.1,40.0
perforated,0.06451612903225806,0.05660377358490566,0.075,40.0
pitted,0.027397260273972605,0.030303030303030304,0.025,40.0
pleated,0.16438356164383564,0.18181818181818182,0.15,40.0
polka−dotted,0.3013698630136986,0.3333333333333333,0.275,40.0
porous,0.23404255319148937,0.2037037037037037,0.275,40.0
potholed,0.3846153846153846,0.39473684210526316,0.375,40.0
scaly,0.11594202898550725,0.13793103448275862,0.1,40.0
smeared,0.08108108108108107,0.08823529411764706,0.075,40.0
spiralled,0.04597701149425288,0.0425531914893617,0.05,40.0
sprinkled,0.05970149253731344,0.07407407407407407,0.05,40.0
stained,0.11267605633802817,0.12903225806451613,0.1,40.0
stratified,0.20370370370370375,0.16176470588235295,0.275,40.0
striped,0.33333333333333337,0.34210526315789475,0.325,40.0
studded,0.46153846153846156,0.4117647058823529,0.525,40.0
swirly,0.0759493670886076,0.07692307692307693,0.075,40.0
veined,0.3061224489795919,0.25862068965517243,0.375,40.0
waffled,0.32911392405063294,0.3333333333333333,0.325,40.0
woven,0.17073170731707316,0.16666666666666666,0.175,40.0
wrinkled,0.12987012987012989,0.13513513513513514,0.125,40.0
zigzagged,0.2077922077922078,0.21621621621621623,0.2,40.0
micro avg,0.18085106382978725,0.18085106382978725,0.18085106382978725,1880.0
macro avg,0.1756176289231969,0.17822560032094048,0.18085106382978725,1880.0
weighted avg,0.17561762892319688,0.1782256003209405,0.18085106382978725,1880.0
