,f1-score,precision,recall,support
banded,0.08888888888888889,0.08,0.1,40.0
blotchy,0.026666666666666665,0.02857142857142857,0.025,40.0
braided,0.0655737704918033,0.09523809523809523,0.05,40.0
bubbly,0.0975609756097561,0.09523809523809523,0.1,40.0
bumpy,0.0,0.0,0.0,40.0
chequered,0.2197802197802198,0.19607843137254902,0.25,40.0
cobwebbed,0.025000000000000005,0.025,0.025,40.0
cracked,0.08695652173913043,0.10344827586206896,0.075,40.0
crosshatched,0.0,0.0,0.0,40.0
crystalline,0.0625,0.08333333333333333,0.05,40.0
dotted,0.12048192771084337,0.11627906976744186,0.125,40.0
fibrous,0.12658227848101264,0.1282051282051282,0.125,40.0
flecked,0.24590163934426235,0.18292682926829268,0.375,40.0
freckled,0.2,0.16666666666666666,0.25,40.0
frilly,0.18181818181818182,0.15254237288135594,0.225,40.0
gauzy,0.1875,0.16071428571428573,0.225,40.0
grid,0.0,0.0,0.0,40.0
grooved,0.028985507246376812,0.034482758620689655,0.025,40.0
honeycombed,0.0,0.0,0.0,40.0
interlaced,0.11764705882352942,0.08860759493670886,0.175,40.0
knitted,0.05000000000000001,0.05,0.05,40.0
lacelike,0.075,0.05,0.15,40.0
lined,0.07920792079207922,0.06557377049180328,0.1,40.0
marbled,0.028985507246376812,0.034482758620689655,0.025,40.0
matted,0.08955223880597014,0.1111111111111111,0.075,40.0
meshed,0.0,0.0,0.0,40.0
paisley,0.0,0.0,0.0,40.0
perforated,0.0,0.0,0.0,40.0
pitted,0.022471910112359546,0.02040816326530612,0.025,40.0
pleated,0.0,0.0,0.0,40.0
polka−dotted,0.11940298507462688,0.14814814814814814,0.1,40.0
porous,0.1111111111111111,0.21428571428571427,0.075,40.0
potholed,0.2608695652173913,0.23076923076923078,0.3,40.0
scaly,0.0,0.0,0.0,40.0
smeared,0.0,0.0,0.0,40.0
spiralled,0.0,0.0,0.0,40.0
sprinkled,0.14084507042253522,0.16129032258064516,0.125,40.0
stained,0.05000000000000001,0.05,0.05,40.0
stratified,0.112,0.08235294117647059,0.175,40.0
striped,0.12727272727272726,0.1,0.175,40.0
studded,0.2692307692307692,0.1810344827586207,0.525,40.0
swirly,0.056338028169014086,0.06451612903225806,0.05,40.0
veined,0.15,0.15,0.15,40.0
waffled,0.2953020134228188,0.2018348623853211,0.55,40.0
woven,0.04597701149425288,0.0425531914893617,0.05,40.0
wrinkled,0.0,0.0,0.0,40.0
zigzagged,0.08,0.08571428571428572,0.075,40.0
micro avg,0.10691489361702128,0.10691489361702128,0.10691489361702128,1880.0
macro avg,0.08607256372282349,0.08045547824478949,0.10691489361702126,1880.0
weighted avg,0.0860725637228235,0.0804554782447895,0.10691489361702128,1880.0
