,f1-score,precision,recall,support
banded,0.10000000000000002,0.1,0.1,40.0
blotchy,0.0,0.0,0.0,40.0
braided,0.10526315789473685,0.1111111111111111,0.1,40.0
bubbly,0.14457831325301204,0.13953488372093023,0.15,40.0
bumpy,0.04938271604938272,0.04878048780487805,0.05,40.0
chequered,0.16494845360824742,0.14035087719298245,0.2,40.0
cobwebbed,0.15584415584415584,0.16216216216216217,0.15,40.0
cracked,0.048192771084337345,0.046511627906976744,0.05,40.0
crosshatched,0.12307692307692307,0.16,0.1,40.0
crystalline,0.0851063829787234,0.07407407407407407,0.1,40.0
dotted,0.05970149253731344,0.07407407407407407,0.05,40.0
fibrous,0.06451612903225806,0.05660377358490566,0.075,40.0
flecked,0.3111111111111111,0.28,0.35,40.0
freckled,0.3999999999999999,0.37777777777777777,0.425,40.0
frilly,0.09302325581395349,0.08695652173913043,0.1,40.0
gauzy,0.23853211009174313,0.18840579710144928,0.325,40.0
grid,0.17204301075268816,0.1509433962264151,0.2,40.0
grooved,0.056338028169014086,0.06451612903225806,0.05,40.0
honeycombed,0.08695652173913043,0.10344827586206896,0.075,40.0
interlaced,0.05063291139240506,0.05128205128205128,0.05,40.0
knitted,0.030303030303030307,0.038461538461538464,0.025,40.0
lacelike,0.11235955056179775,0.10204081632653061,0.125,40.0
lined,0.14414414414414414,0.11267605633802817,0.2,40.0
marbled,0.12307692307692307,0.16,0.1,40.0
matted,0.023255813953488372,0.021739130434782608,0.025,40.0
meshed,0.1038961038961039,0.10810810810810811,0.1,40.0
paisley,0.05714285714285715,0.06666666666666667,0.05,40.0
perforated,0.08955223880597014,0.1111111111111111,0.075,40.0
pitted,0.03125,0.041666666666666664,0.025,40.0
pleated,0.028571428571428574,0.03333333333333333,0.025,40.0
polka−dotted,0.11940298507462688,0.14814814814814814,0.1,40.0
porous,0.16842105263157894,0.14545454545454545,0.2,40.0
potholed,0.32,0.34285714285714286,0.3,40.0
scaly,0.029411764705882353,0.03571428571428571,0.025,40.0
smeared,0.0,0.0,0.0,40.0
spiralled,0.08333333333333331,0.09375,0.075,40.0
sprinkled,0.07228915662650602,0.06976744186046512,0.075,40.0
stained,0.09677419354838708,0.13636363636363635,0.075,40.0
stratified,0.15,0.15,0.15,40.0
striped,0.21568627450980393,0.1774193548387097,0.275,40.0
studded,0.35714285714285715,0.2777777777777778,0.5,40.0
swirly,0.047058823529411764,0.044444444444444446,0.05,40.0
veined,0.2531645569620253,0.2564102564102564,0.25,40.0
waffled,0.28260869565217395,0.25,0.325,40.0
woven,0.12121212121212123,0.15384615384615385,0.1,40.0
wrinkled,0.08955223880597014,0.1111111111111111,0.075,40.0
zigzagged,0.04938271604938272,0.04878048780487805,0.05,40.0
micro avg,0.12925531914893618,0.12925531914893618,0.12925531914893618,1880.0
macro avg,0.12145192137593487,0.12030172839854396,0.12925531914893618,1880.0
weighted avg,0.1214519213759349,0.12030172839854396,0.12925531914893618,1880.0
