,f1-score,precision,recall,support
aluminum_foil,0.0,0.0,0.0,324.0
brown_bread,0.8408488063660478,0.7372093023255814,0.9783950617283951,324.0
corduroy,0.7037037037037037,0.5864197530864198,0.8796296296296297,324.0
cork,0.6276067527308838,0.46266471449487556,0.9753086419753086,324.0
cotton,0.02631578947368421,0.022935779816513763,0.030864197530864196,324.0
cracker,0.1388888888888889,0.2777777777777778,0.09259259259259259,324.0
lettuce leaf,0.28413793103448276,0.256857855361596,0.31790123456790126,324.0
linen,0.0,0.0,0.0,324.0
white_bread,0.31419939577039274,0.3076923076923077,0.32098765432098764,324.0
wood,0.5318761384335154,0.6488888888888888,0.4506172839506173,324.0
wool,0.35879218472468916,0.4225941422594142,0.3117283950617284,324.0
micro avg,0.3961840628507295,0.3961840628507295,0.3961840628507295,3564.0
macro avg,0.3478517810114808,0.33845822924576136,0.3961840628507296,3564.0
weighted avg,0.3478517810114808,0.3384582292457613,0.3961840628507295,3564.0
