,f1-score,precision,recall,support
aluminum_foil,0.600216684723727,0.46243739565943237,0.8549382716049383,324.0
brown_bread,0.6397515527950312,0.64375,0.6358024691358025,324.0
corduroy,0.11707317073170731,0.27906976744186046,0.07407407407407407,324.0
cork,0.5855161787365177,0.5846153846153846,0.5864197530864198,324.0
cotton,0.0,0.0,0.0,324.0
cracker,0.16506717850287908,0.2182741116751269,0.13271604938271606,324.0
lettuce leaf,0.8285714285714286,0.7152466367713004,0.9845679012345679,324.0
linen,0.32127351664254705,0.3024523160762943,0.3425925925925926,324.0
white_bread,0.7019867549668873,0.6148491879350348,0.8179012345679012,324.0
wood,0.4666666666666667,0.43989071038251365,0.49691358024691357,324.0
wool,0.4306864064602961,0.3818615751789976,0.49382716049382713,324.0
micro avg,0.49270482603815935,0.49270482603815935,0.49270482603815935,3564.0
macro avg,0.44152813989069895,0.4220406441578132,0.4927048260381594,3564.0
weighted avg,0.44152813989069883,0.4220406441578132,0.49270482603815935,3564.0
