,f1-score,precision,recall,support
aluminum_foil,0.6330645161290323,0.9127906976744186,0.4845679012345679,324.0
brown_bread,0.8094612352168199,0.7048054919908466,0.9506172839506173,324.0
corduroy,0.49743589743589745,0.34397163120567376,0.8981481481481481,324.0
cork,0.6974697469746974,0.5418803418803418,0.9783950617283951,324.0
cotton,0.0,0.0,0.0,324.0
cracker,0.4083969465648855,0.535,0.33024691358024694,324.0
lettuce leaf,0.15678776290630975,0.20603015075376885,0.12654320987654322,324.0
linen,0.005649717514124294,0.03333333333333333,0.0030864197530864196,324.0
white_bread,0.0,0.0,0.0,324.0
wood,0.36999999999999994,0.31092436974789917,0.4567901234567901,324.0
wool,0.33480176211453744,0.2602739726027397,0.4691358024691358,324.0
micro avg,0.4270482603815937,0.4270482603815937,0.4270482603815937,3564.0
macro avg,0.35573341680511855,0.3499099990171838,0.4270482603815937,3564.0
weighted avg,0.35573341680511855,0.3499099990171838,0.4270482603815937,3564.0
