,f1-score,precision,recall,support
aluminum_foil,0.0,0.0,0.0,324.0
brown_bread,0.7852437417654808,0.6850574712643678,0.9197530864197531,324.0
corduroy,0.6762028608582574,0.5842696629213483,0.8024691358024691,324.0
cork,0.6659528907922913,0.5098360655737705,0.9598765432098766,324.0
cotton,0.13559322033898305,0.8,0.07407407407407407,324.0
cracker,0.7526555386949924,0.7402985074626866,0.7654320987654321,324.0
lettuce leaf,0.5123537061118336,0.44269662921348313,0.6080246913580247,324.0
linen,0.0,0.0,0.0,324.0
white_bread,0.314002828854314,0.2898172323759791,0.3425925925925926,324.0
wood,0.611111111111111,0.8555555555555555,0.47530864197530864,324.0
wool,0.41392649903288203,0.5544041450777202,0.33024691358024694,324.0
micro avg,0.4797979797979798,0.4797979797979798,0.4797979797979798,3564.0
macro avg,0.442458399778195,0.4965395699495373,0.4797979797979798,3564.0
weighted avg,0.4424583997781951,0.4965395699495374,0.4797979797979798,3564.0
