,f1-score,precision,recall,support
aluminum_foil,0.0,0.0,0.0,324.0
brown_bread,0.9462025316455696,0.9707792207792207,0.9228395061728395,324.0
corduroy,0.7307171853856562,0.6506024096385542,0.8333333333333334,324.0
cork,0.6043030869971936,0.43355704697986575,0.9969135802469136,324.0
cotton,0.2538593481989708,0.2857142857142857,0.22839506172839505,324.0
cracker,0.6832844574780059,0.6508379888268156,0.7191358024691358,324.0
lettuce leaf,0.4597402597402597,0.3968609865470852,0.5462962962962963,324.0
linen,0.39814814814814814,0.39814814814814814,0.39814814814814814,324.0
white_bread,0.12777777777777777,0.6388888888888888,0.07098765432098765,324.0
wood,0.7549467275494672,0.7447447447447447,0.7654320987654321,324.0
wool,0.40236686390532544,0.5573770491803278,0.3148148148148148,324.0
micro avg,0.5269360269360269,0.5269360269360269,0.5269360269360269,3564.0
macro avg,0.487395126075125,0.5206827972225397,0.5269360269360269,3564.0
weighted avg,0.4873951260751249,0.5206827972225397,0.5269360269360269,3564.0
