,f1-score,precision,recall,support
aluminum_foil,0.018099547511312215,0.03389830508474576,0.012345679012345678,324.0
brown_bread,0.9585987261146497,0.9901315789473685,0.9290123456790124,324.0
corduroy,0.8622950819672132,0.9195804195804196,0.8117283950617284,324.0
cork,0.7017543859649122,0.54421768707483,0.9876543209876543,324.0
cotton,0.06785137318255251,0.0711864406779661,0.06481481481481481,324.0
cracker,0.6573248407643312,0.559652928416486,0.7962962962962963,324.0
lettuce leaf,0.49293563579277866,0.5015974440894568,0.4845679012345679,324.0
linen,0.3873159682899207,0.30590339892665475,0.5277777777777778,324.0
white_bread,0.13842482100238662,0.30526315789473685,0.08950617283950617,324.0
wood,0.776725304465494,0.691566265060241,0.8858024691358025,324.0
wool,0.42290748898678415,0.7384615384615385,0.2962962962962963,324.0
micro avg,0.5350729517396184,0.5350729517396184,0.5350729517396184,3564.0
macro avg,0.4985666521856667,0.5146781058376767,0.5350729517396183,3564.0
weighted avg,0.4985666521856668,0.5146781058376768,0.5350729517396184,3564.0
