,f1-score,precision,recall,support
aluminum_foil,0.0,0.0,0.0,324.0
brown_bread,0.8,0.7115384615384616,0.9135802469135802,324.0
corduroy,0.6969205834683954,0.7337883959044369,0.6635802469135802,324.0
cork,0.5475974614687217,0.38767650834403083,0.9320987654320988,324.0
cotton,0.06763285024154589,0.15555555555555556,0.043209876543209874,324.0
cracker,0.6031250000000001,0.6107594936708861,0.595679012345679,324.0
lettuce leaf,0.4108416547788873,0.3819628647214854,0.4444444444444444,324.0
linen,0.0,0.0,0.0,324.0
white_bread,0.4466019417475728,0.40554156171284633,0.49691358024691357,324.0
wood,0.5659655831739963,0.7437185929648241,0.4567901234567901,324.0
wool,0.41379310344827586,0.4421052631578947,0.3888888888888889,324.0
micro avg,0.44865319865319864,0.44865319865319864,0.44865319865319864,3564.0
macro avg,0.41386165257521773,0.41569515432458376,0.44865319865319875,3564.0
weighted avg,0.4138616525752178,0.4156951543245838,0.44865319865319864,3564.0
