,f1-score,precision,recall,support
aluminum_foil,0.06666666666666667,0.11904761904761904,0.046296296296296294,324.0
brown_bread,0.873972602739726,0.7857142857142857,0.9845679012345679,324.0
corduroy,0.7751371115173675,0.9506726457399103,0.654320987654321,324.0
cork,0.8,0.6722689075630253,0.9876543209876543,324.0
cotton,0.006116207951070336,0.3333333333333333,0.0030864197530864196,324.0
cracker,0.3957894736842105,0.6225165562913907,0.29012345679012347,324.0
lettuce leaf,0.3877917414721723,0.463519313304721,0.3333333333333333,324.0
linen,0.020253164556962022,0.056338028169014086,0.012345679012345678,324.0
white_bread,0.49533954727030627,0.43559718969555034,0.5740740740740741,324.0
wood,0.0532687651331719,0.12359550561797752,0.033950617283950615,324.0
wool,0.3826500297088532,0.23693892568064753,0.9938271604938271,324.0
micro avg,0.44668911335578004,0.44668911335578004,0.44668911335578004,3564.0
macro avg,0.386998664609137,0.436322028196134,0.44668911335578,3564.0
weighted avg,0.38699866460913707,0.4363220281961341,0.44668911335578004,3564.0
