,f1-score,precision,recall,support
aluminum_foil,0.39903846153846156,0.9021739130434783,0.25617283950617287,324.0
brown_bread,0.7638190954773869,0.6440677966101694,0.9382716049382716,324.0
corduroy,0.4598930481283422,0.3233082706766917,0.7962962962962963,324.0
cork,0.7339449541284403,0.583941605839416,0.9876543209876543,324.0
cotton,0.0058309037900874635,0.05263157894736842,0.0030864197530864196,324.0
cracker,0.3235294117647059,0.34375,0.3055555555555556,324.0
lettuce leaf,0.15354330708661418,0.21195652173913043,0.12037037037037036,324.0
linen,0.37155963302752293,0.7232142857142857,0.25,324.0
white_bread,0.0,0.0,0.0,324.0
wood,0.5576470588235294,0.4505703422053232,0.7314814814814815,324.0
wool,0.4253028263795424,0.37708830548926014,0.4876543209876543,324.0
micro avg,0.44332210998877664,0.44332210998877664,0.44332210998877664,3564.0
macro avg,0.3812826091040576,0.41933660184228394,0.4433221099887766,3564.0
weighted avg,0.3812826091040576,0.4193366018422839,0.44332210998877664,3564.0
