,f1-score,precision,recall,support
aluminum_foil,0.6870229007633587,0.9,0.5555555555555556,324.0
brown_bread,0.7329341317365268,0.598825831702544,0.9444444444444444,324.0
corduroy,0.5234375,0.38285714285714284,0.8271604938271605,324.0
cork,0.6539278131634819,0.49838187702265374,0.9506172839506173,324.0
cotton,0.005763688760806917,0.043478260869565216,0.0030864197530864196,324.0
cracker,0.35963302752293574,0.4434389140271493,0.30246913580246915,324.0
lettuce leaf,0.24625623960066553,0.26714801444043323,0.22839506172839505,324.0
linen,0.3656884875846501,0.680672268907563,0.25,324.0
white_bread,0.0,0.0,0.0,324.0
wood,0.45564074479737127,0.3531409168081494,0.6419753086419753,324.0
wool,0.40952380952380946,0.4215686274509804,0.39814814814814814,324.0
micro avg,0.46380471380471383,0.46380471380471383,0.46380471380471383,3564.0
macro avg,0.4036207584957825,0.41722835037147105,0.46380471380471383,3564.0
weighted avg,0.40362075849578244,0.41722835037147094,0.46380471380471383,3564.0
