,f1-score,precision,recall,support
aluminum_foil,0.0,0.0,0.0,324.0
brown_bread,0.7654320987654321,0.6888888888888889,0.8611111111111112,324.0
corduroy,0.6471371504660453,0.5690866510538641,0.75,324.0
cork,0.5994344957587182,0.4314789687924016,0.9814814814814815,324.0
cotton,0.017301038062283735,0.01968503937007874,0.015432098765432098,324.0
cracker,0.25254582484725047,0.3712574850299401,0.19135802469135801,324.0
lettuce leaf,0.3220125786163522,0.27176220806794055,0.3950617283950617,324.0
linen,0.0,0.0,0.0,324.0
white_bread,0.26722925457102675,0.2454780361757106,0.2932098765432099,324.0
wood,0.47016274864376134,0.5676855895196506,0.4012345679012346,324.0
wool,0.39121756487025944,0.5536723163841808,0.30246913580246915,324.0
micro avg,0.38103254769921435,0.38103254769921435,0.38103254769921435,3564.0
macro avg,0.33931570496373903,0.3380904712075142,0.3810325476992144,3564.0
weighted avg,0.339315704963739,0.3380904712075141,0.38103254769921435,3564.0
