,f1-score,precision,recall,support
aluminum_foil,0.0,0.0,0.0,324.0
brown_bread,0.8069738480697386,0.6764091858037579,1.0,324.0
corduroy,0.739622641509434,0.9514563106796117,0.6049382716049383,324.0
cork,0.574977817213842,0.40348692403486924,1.0,324.0
cotton,0.0,0.0,0.0,324.0
cracker,0.4506329113924051,0.38197424892703863,0.5493827160493827,324.0
lettuce leaf,0.019723865877712028,0.0273224043715847,0.015432098765432098,324.0
linen,0.005934718100890208,0.07692307692307693,0.0030864197530864196,324.0
white_bread,0.33402922755741127,0.5161290322580645,0.24691358024691357,324.0
wood,0.03225806451612904,0.038461538461538464,0.027777777777777776,324.0
wool,0.3687943262411348,0.24761904761904763,0.7222222222222222,324.0
micro avg,0.37906846240179576,0.37906846240179576,0.37906846240179576,3564.0
macro avg,0.3029952200435179,0.30179834264350813,0.37906846240179576,3564.0
weighted avg,0.3029952200435179,0.30179834264350813,0.37906846240179576,3564.0
