,f1-score,precision,recall,support
aluminum_foil,0.25193798449612403,0.3385416666666667,0.2006172839506173,324.0
brown_bread,0.5964566929133859,0.43786127167630057,0.9351851851851852,324.0
corduroy,0.4087024087024087,0.2731048805815161,0.8117283950617284,324.0
cork,0.7869918699186993,0.8316151202749141,0.7469135802469136,324.0
cotton,0.0,0.0,0.0,324.0
cracker,0.5598650927487353,0.6171003717472119,0.5123456790123457,324.0
lettuce leaf,0.11413748378728923,0.09843400447427293,0.13580246913580246,324.0
linen,0.0,0.0,0.0,324.0
white_bread,0.0,0.0,0.0,324.0
wood,0.6045016077170418,0.6308724832214765,0.5802469135802469,324.0
wool,0.27320490367775835,0.3157894736842105,0.24074074074074073,324.0
accuracy,0.37850729517396187,0.37850729517396187,0.37850729517396187,0.37850729517396187
macro avg,0.32689073126922197,0.32211993384786997,0.3785072951739618,3564.0
weighted avg,0.326890731269222,0.3221199338478699,0.37850729517396187,3564.0
