,f1-score,precision,recall,support
aluminum_foil,0.0045871559633027525,0.008928571428571428,0.0030864197530864196,324.0
brown_bread,0.7561260210035006,0.6078799249530957,1.0,324.0
corduroy,0.16445623342175064,0.5849056603773585,0.09567901234567901,324.0
cork,0.6535269709543569,0.4921875,0.9722222222222222,324.0
cotton,0.0,0.0,0.0,324.0
cracker,0.4099290780141843,0.26611418047882135,0.8919753086419753,324.0
lettuce leaf,0.03656307129798903,0.04484304932735426,0.030864197530864196,324.0
linen,0.008695652173913044,0.014705882352941176,0.006172839506172839,324.0
white_bread,0.31643002028397565,0.46153846153846156,0.24074074074074073,324.0
wood,0.03174603174603175,0.02981029810298103,0.033950617283950615,324.0
wool,0.20848056537102472,0.24380165289256198,0.18209876543209877,324.0
accuracy,0.31425364758698093,0.31425364758698093,0.31425364758698093,0.31425364758698093
macro avg,0.23550370911182086,0.2504286528592861,0.31425364758698093,3564.0
weighted avg,0.2355037091118209,0.25042865285928606,0.31425364758698093,3564.0
