,f1-score,precision,recall,support
aluminum_foil,0.004576659038901602,0.008849557522123894,0.0030864197530864196,324.0
brown_bread,0.6718995290423863,0.6837060702875399,0.6604938271604939,324.0
corduroy,0.11061946902654866,0.1953125,0.07716049382716049,324.0
cork,0.749124854142357,0.6022514071294559,0.9907407407407407,324.0
cotton,0.0047732696897374695,0.010526315789473684,0.0030864197530864196,324.0
cracker,0.40680587780355754,0.2714138286893705,0.8117283950617284,324.0
lettuce leaf,0.04148148148148147,0.039886039886039885,0.043209876543209874,324.0
linen,0.019607843137254898,0.047619047619047616,0.012345679012345678,324.0
white_bread,0.29707112970711297,0.461038961038961,0.2191358024691358,324.0
wood,0.014577259475218658,0.013812154696132596,0.015432098765432098,324.0
wool,0.2824427480916031,0.24025974025974026,0.3425925925925926,324.0
accuracy,0.2890011223344557,0.2890011223344557,0.2890011223344557,0.2890011223344557
macro avg,0.23663455642146902,0.23406142026526225,0.2890011223344557,3564.0
weighted avg,0.23663455642146905,0.23406142026526228,0.2890011223344557,3564.0
