,f1-score,precision,recall,support
aluminum_foil,0.009174311926605505,0.017857142857142856,0.006172839506172839,324.0
brown_bread,0.859903381642512,0.898989898989899,0.8240740740740741,324.0
corduroy,0.630188679245283,0.8106796116504854,0.5154320987654321,324.0
cork,0.6007462686567164,0.4304812834224599,0.9938271604938271,324.0
cotton,0.05187319884726224,0.391304347826087,0.027777777777777776,324.0
cracker,0.6279949558638084,0.5309168443496801,0.7685185185185185,324.0
lettuce leaf,0.3738656987295826,0.45374449339207046,0.31790123456790126,324.0
linen,0.0045871559633027525,0.008928571428571428,0.0030864197530864196,324.0
white_bread,0.2962962962962963,0.4444444444444444,0.2222222222222222,324.0
wood,0.0816326530612245,0.15384615384615385,0.05555555555555555,324.0
wool,0.3943462897526501,0.25572868927589365,0.8611111111111112,324.0
accuracy,0.41778900112233447,0.41778900112233447,0.41778900112233447,0.41778900112233447
macro avg,0.3573280809077495,0.39972013468026263,0.4177890011223344,3564.0
weighted avg,0.3573280809077494,0.39972013468026263,0.41778900112233447,3564.0
