,f1-score,precision,recall,support
aluminum_foil,0.0,0.0,0.0,324.0
brown_bread,0.7635869565217391,0.6820388349514563,0.8672839506172839,324.0
corduroy,0.7383059418457649,0.6252676659528907,0.9012345679012346,324.0
cork,0.5439189189189189,0.3744186046511628,0.9938271604938271,324.0
cotton,0.008415147265077139,0.007712082262210797,0.009259259259259259,324.0
cracker,0.10188679245283018,0.13106796116504854,0.08333333333333333,324.0
lettuce leaf,0.17314487632508835,0.2024793388429752,0.15123456790123457,324.0
linen,0.0,0.0,0.0,324.0
white_bread,0.33492822966507174,0.3465346534653465,0.32407407407407407,324.0
wood,0.5625000000000001,0.6428571428571429,0.5,324.0
wool,0.24509803921568624,0.5952380952380952,0.15432098765432098,324.0
accuracy,0.3622334455667789,0.3622334455667789,0.3622334455667789,0.3622334455667789
macro avg,0.3156168092918342,0.3279649435805754,0.3622334455667789,3564.0
weighted avg,0.31561680929183433,0.3279649435805754,0.3622334455667789,3564.0
