,f1-score,precision,recall,support
aluminum_foil,0.5114754098360655,0.5454545454545454,0.48148148148148145,324.0
brown_bread,0.7672634271099744,0.6550218340611353,0.9259259259259259,324.0
corduroy,0.4370308590492077,0.29942857142857143,0.808641975308642,324.0
cork,0.8739255014326648,0.8155080213903744,0.941358024691358,324.0
cotton,0.0,0.0,0.0,324.0
cracker,0.23668639053254437,0.32786885245901637,0.18518518518518517,324.0
lettuce leaf,0.1988527724665392,0.2613065326633166,0.16049382716049382,324.0
linen,0.0,0.0,0.0,324.0
white_bread,0.0,0.0,0.0,324.0
wood,0.3471241170534814,0.25787106446776614,0.5308641975308642,324.0
wool,0.3026134800550206,0.2729528535980149,0.3395061728395062,324.0
accuracy,0.39758698092031425,0.39758698092031425,0.39758698092031425,0.39758698092031425
macro avg,0.33408835977595436,0.3123102068657037,0.39758698092031425,3564.0
weighted avg,0.3340883597759544,0.31231020686570365,0.39758698092031425,3564.0
