,f1-score,precision,recall,support
aluminum_foil,0.41355932203389834,0.45864661654135336,0.3765432098765432,324.0
brown_bread,0.7651966626936829,0.6233009708737864,0.9907407407407407,324.0
corduroy,0.4543034605146407,0.31880448318804483,0.7901234567901234,324.0
cork,0.8048128342245989,0.7099056603773585,0.9290123456790124,324.0
cotton,0.15151515151515152,0.2536231884057971,0.10802469135802469,324.0
cracker,0.8387096774193548,0.8348623853211009,0.8425925925925926,324.0
lettuce leaf,0.19438444924406048,0.3237410071942446,0.1388888888888889,324.0
linen,0.29126213592233013,0.30612244897959184,0.2777777777777778,324.0
white_bread,0.0,0.0,0.0,324.0
wood,0.47916666666666663,0.46264367816091956,0.49691358024691357,324.0
wool,0.44186046511627913,0.4784172661870504,0.4104938271604938,324.0
accuracy,0.48737373737373735,0.48737373737373735,0.48737373737373735,0.48737373737373735
macro avg,0.43952462048642393,0.4336425186572043,0.4873737373737374,3564.0
weighted avg,0.43952462048642393,0.4336425186572043,0.48737373737373735,3564.0
