,f1-score,precision,recall,support
aluminum_foil,0.0,0.0,0.0,324.0
brown_bread,0.8846815834767642,1.0,0.7932098765432098,324.0
corduroy,0.6609442060085836,0.616,0.7129629629629629,324.0
cork,0.5895316804407713,0.4196078431372549,0.9907407407407407,324.0
cotton,0.0,0.0,0.0,324.0
cracker,0.2900378310214376,0.24520255863539445,0.3549382716049383,324.0
lettuce leaf,0.32707774798927614,0.2890995260663507,0.3765432098765432,324.0
linen,0.06962785114045619,0.05697445972495088,0.08950617283950617,324.0
white_bread,0.05263157894736842,0.17857142857142858,0.030864197530864196,324.0
wood,0.5359477124183006,0.46485260770975056,0.6327160493827161,324.0
wool,0.004434589800443459,0.007874015748031496,0.0030864197530864196,324.0
accuracy,0.3622334455667789,0.3622334455667789,0.3622334455667789,0.3622334455667789
macro avg,0.3104467982948547,0.2980165854175601,0.3622334455667789,3564.0
weighted avg,0.31044679829485466,0.29801658541756015,0.3622334455667789,3564.0
