,f1-score,precision,recall,support
aluminum_foil,0.5925925925925926,0.42328042328042326,0.9876543209876543,324.0
brown_bread,0.4489795918367347,0.3548387096774194,0.6111111111111112,324.0
corduroy,0.0,0.0,0.0,324.0
cork,0.05128205128205128,0.08333333333333333,0.037037037037037035,324.0
cotton,0.061320754716981125,0.13,0.040123456790123455,324.0
cracker,0.518421052631579,0.4518348623853211,0.6080246913580247,324.0
lettuce leaf,0.8315789473684211,0.9634146341463414,0.7314814814814815,324.0
linen,0.07915567282321899,0.2727272727272727,0.046296296296296294,324.0
white_bread,0.6382428940568475,0.5488888888888889,0.7623456790123457,324.0
wood,0.4598459845984598,0.3572649572649573,0.6450617283950617,324.0
wool,0.0049019607843137246,0.011904761904761904,0.0030864197530864196,324.0
micro avg,0.4065656565656566,0.4065656565656566,0.4065656565656566,3564.0
macro avg,0.33512013660829093,0.3270443494189745,0.4065656565656566,3564.0
weighted avg,0.3351201366082909,0.3270443494189745,0.4065656565656566,3564.0
