,f1-score,precision,recall,support
aluminum_foil,0.5957446808510638,0.42536327608982827,0.9938271604938271,324.0
brown_bread,0.2666666666666667,0.2384428223844282,0.30246913580246915,324.0
corduroy,0.0,0.0,0.0,324.0
cork,0.1094017094017094,0.12260536398467432,0.09876543209876543,324.0
cotton,0.1016949152542373,0.23595505617977527,0.06481481481481481,324.0
cracker,0.46844319775596077,0.42930591259640105,0.5154320987654321,324.0
lettuce leaf,0.8862478777589133,0.9849056603773585,0.8055555555555556,324.0
linen,0.06728971962616823,0.08530805687203792,0.05555555555555555,324.0
white_bread,0.6666666666666667,0.5765765765765766,0.7901234567901234,324.0
wood,0.5826972010178116,0.49567099567099565,0.7067901234567902,324.0
wool,0.0,0.0,0.0,324.0
micro avg,0.3939393939393939,0.3939393939393939,0.3939393939393939,3564.0
macro avg,0.3404411486362907,0.3267394291574614,0.3939393939393939,3564.0
weighted avg,0.34044114863629077,0.32673942915746146,0.3939393939393939,3564.0
