,f1-score,precision,recall,support
aluminum_foil,0.7444168734491315,0.6224066390041494,0.9259259259259259,324.0
brown_bread,0.40233236151603496,0.3812154696132597,0.42592592592592593,324.0
corduroy,0.0,0.0,0.0,324.0
cork,0.3220675944333996,0.45251396648044695,0.25,324.0
cotton,0.0,0.0,0.0,324.0
cracker,0.1348314606741573,0.12371134020618557,0.14814814814814814,324.0
lettuce leaf,0.7994616419919246,0.7088305489260143,0.9166666666666666,324.0
linen,0.07446808510638298,0.2692307692307692,0.043209876543209874,324.0
white_bread,0.4026745913818723,0.2651663405088063,0.8364197530864198,324.0
wood,0.45790251107828656,0.43909348441926344,0.4783950617283951,324.0
wool,0.27257240204429306,0.3041825095057034,0.24691358024691357,324.0
micro avg,0.388327721661055,0.388327721661055,0.388327721661055,3564.0
macro avg,0.328247956515953,0.32421373344496346,0.388327721661055,3564.0
weighted avg,0.3282479565159529,0.3242137334449635,0.388327721661055,3564.0
