,f1-score,precision,recall,support
aluminum_foil,0.0,0.0,0.0,324.0
brown_bread,0.7518573551263001,0.7249283667621776,0.7808641975308642,324.0
corduroy,0.7094474153297681,0.8396624472573839,0.6141975308641975,324.0
cork,0.6335963923337092,0.4991119005328597,0.8672839506172839,324.0
cotton,0.11891891891891891,0.4782608695652174,0.06790123456790123,324.0
cracker,0.49146757679180886,0.549618320610687,0.4444444444444444,324.0
lettuce leaf,0.5598845598845599,0.5257452574525745,0.5987654320987654,324.0
linen,0.0,0.0,0.0,324.0
white_bread,0.40563991323210413,0.31270903010033446,0.5771604938271605,324.0
wood,0.570902394106814,0.7077625570776256,0.4783950617283951,324.0
wool,0.5950920245398773,0.5914634146341463,0.5987654320987654,324.0
accuracy,0.45707070707070707,0.45707070707070707,0.45707070707070707,0.45707070707070707
macro avg,0.4397096863876236,0.47538746945390975,0.4570707070707071,3564.0
weighted avg,0.43970968638762364,0.47538746945390964,0.45707070707070707,3564.0
