,f1-score,precision,recall,support
aluminum_foil,0.46636771300448426,0.8524590163934426,0.32098765432098764,324.0
brown_bread,0.7583732057416267,0.619140625,0.9783950617283951,324.0
corduroy,0.494921514312096,0.3530961791831357,0.8271604938271605,324.0
cork,0.7260273972602741,0.5760869565217391,0.9814814814814815,324.0
cotton,0.0058997050147492625,0.06666666666666667,0.0030864197530864196,324.0
cracker,0.4044526901669759,0.5069767441860465,0.33641975308641975,324.0
lettuce leaf,0.23754789272030652,0.31313131313131315,0.19135802469135801,324.0
linen,0.015424164524421594,0.046153846153846156,0.009259259259259259,324.0
white_bread,0.0,0.0,0.0,324.0
wood,0.4595744680851064,0.4251968503937008,0.5,324.0
wool,0.29545454545454547,0.2220496894409938,0.44135802469135804,324.0
accuracy,0.4172278338945006,0.4172278338945006,0.4172278338945006,0.4172278338945006
macro avg,0.35127666329859875,0.36190526246098953,0.4172278338945006,3564.0
weighted avg,0.3512766632985987,0.36190526246098953,0.4172278338945006,3564.0
