,f1-score,precision,recall,support
aluminum_foil,0.0,0.0,0.0,324.0
brown_bread,0.787363304981774,0.6492985971943888,1.0,324.0
corduroy,0.764378478664193,0.958139534883721,0.6358024691358025,324.0
cork,0.5961361545538179,0.42463958060288337,1.0,324.0
cotton,0.0,0.0,0.0,324.0
cracker,0.41746538871139516,0.31869918699186994,0.6049382716049383,324.0
lettuce leaf,0.11764705882352942,0.13385826771653545,0.10493827160493827,324.0
linen,0.08620689655172413,0.625,0.046296296296296294,324.0
white_bread,0.3434343434343434,0.49707602339181284,0.2623456790123457,324.0
wood,0.052525252525252523,0.07602339181286549,0.040123456790123455,324.0
wool,0.27981220657276995,0.20107962213225372,0.45987654320987653,324.0
accuracy,0.377665544332211,0.377665544332211,0.377665544332211,0.377665544332211
macro avg,0.31317900771079993,0.3530740186114846,0.377665544332211,3564.0
weighted avg,0.31317900771079993,0.3530740186114846,0.377665544332211,3564.0
