,f1-score,precision,recall,support
aluminum_foil,0.49367088607594933,0.78,0.3611111111111111,324.0
brown_bread,0.7893401015228426,0.6702586206896551,0.9598765432098766,324.0
corduroy,0.5042816365366318,0.36451169188445665,0.8179012345679012,324.0
cork,0.6223628691983122,0.47275641025641024,0.9104938271604939,324.0
cotton,0.06683804627249357,0.2,0.040123456790123455,324.0
cracker,0.3696027633851468,0.4196078431372549,0.33024691358024694,324.0
lettuce leaf,0.3617021276595745,0.425,0.3148148148148148,324.0
linen,0.34989200863930886,0.5827338129496403,0.25,324.0
white_bread,0.0,0.0,0.0,324.0
wood,0.39601494396014947,0.33194154488517746,0.49074074074074076,324.0
wool,0.3467741935483871,0.30714285714285716,0.39814814814814814,324.0
accuracy,0.4430415263748597,0.4430415263748597,0.4430415263748597,0.4430415263748597
macro avg,0.3909526887998906,0.41399570735867736,0.44304152637485966,3564.0
weighted avg,0.39095268879989054,0.41399570735867736,0.4430415263748597,3564.0
